OPPORTUNITY_ID,ACCOUNT_NAME,RESTAURANT_UNIQUE_CODE,STATUS,ONBOARDED_DATE,GMV_LEVEL_VOICE_PLATFORM,TOTAL_GMV_MONTHLY_AVERAGE_VOICE_PLATFORM_USD,TOTAL_GMV_VOICE_PLATFORM_USD,TOTAL_ORDER_COUNT_VOICE_PLATFORM,TOTAL_MIN_MONTHLY_SALES_USD,LEAD_SOURCE,BILLING_STATE,PROMOTIONS,LATEST_ACTIVATION_DATE,CUISINE_TYPE
006Uo00000Bn2QYIAZ,St Louis Kitchen R87173,R87173,active,2024-05-07,"level_3 ($10,000 to $29,999)",16451,123928,4330,15000,Redbook,MO,High GMV - the 12th Month Free;1 Year SMS - Free,2024-05-05,chinese
006Uo000005leGsIAI,GOLDEN CHINA R86823,R86823,active,2024-01-29,"level_3 ($10,000 to $29,999)",11030,97066,4573,10000,Client Referral - Unknown,IN,Client Referral (Referrer $300);Printer Promotion;30 days Free Trial - VO;1 Year SMS - Free;Flight Ticket - Jan 2024,2024-01-26,chinese
006Uo000004OGv9IAG,Golden Dragon Express R86751,R86751,active,2024-01-01,"level_3 ($10,000 to $29,999)",28158,309737,11241,15000,Google,TX,Printer Promotion;30 days Free Trial - VO;30 days Free Trial - DE;1 Year SMS - Free,2023-12-30,chinese
006Uo000001OUSiIAO,China Wok R86553,R86553,active,2023-12-01,"level_3 ($10,000 to $29,999)",14502,170645,6061,15000,DM;Client Referral - Unknown;Telemarketer,MD,Printer Promotion;30 days Free Trial - VO;30 days Free Trial - DE,2023-11-29,chinese
006Uo0000083tJiIAI,STEAMING SEAFOOD RESTAURANT R86979,R86979,active,2024-03-01,"level_3 ($10,000 to $29,999)",15917,149087,3209,0,WeChat - Ads,CA,30 days Free Trial - VO;1 Year SMS - Free;Feb 2024 SQL - Massager,2024-02-26,advanced
006Uo00000AnsazIAB,Imperial Chinese Garden R87158,R87158,active,2024-04-27,"level_3 ($10,000 to $29,999)",19835,149420,4229,10000,DM,GA,30 days Free Trial - VO;30 days Free Trial - DE;1 Year SMS - Free,2024-04-26,chinese
006Uo000006Ot4nIAC,New Century Kitchen R87015,R87015,suspended,2024-03-07,"level_2 ($30,000 to $49,999)",45671,190294,5879,0,WeChat - Other,NY,Printer Promotion;30 days Free Trial - VO,2025-01-03,chinese
006Uo000004u21eIAA,LIGHT STAR R86772,R86772,active,2024-01-13,"level_2 ($30,000 to $49,999)",32457,345124,15000,15000,DM,CT,Client Referral (Referrer $300);Printer Promotion;30 days Free Trial - VO;1 Year SMS - Free;Flight Ticket - Jan 2024,2024-01-14,chinese
0068b00001TAK87AAH,Golden Kitchen R86205,R86205,active,2023-10-13,"level_3 ($10,000 to $29,999)",17226,226810,9466,15000,DM,NY,Printer Promotion;30 days Free Trial - VO,2023-10-10,advanced
006Uo00000CyEvdIAF,China Wok R87397,R87397,suspended,2024-07-16,"level_2 ($30,000 to $49,999)",31712,33827,1394,0,Client Referral - Unknown;Redbook,FL,Printer Promotion;30 days Free Trial - VO,2024-07-15,chinese
